snpid	chr	pos
snp1	10	8066096444.32628
snp2	10	8066309674.79928
snp3	10	8066711133.7267
snp4	10	8067381842.57999
snp5	10	8065968790.86208
snp6	10	8067362206.36994
snp7	10	8067454777.53721
snp8	10	8066887022.58497
snp9	10	8066823655.0878
snp10	10	8065688999.54094
snp11	10	8065977376.1498
snp12	10	8065918540.50506
snp13	10	8066939472.69332
snp14	10	8066333634.43643
snp15	10	8067105109.84
snp16	10	8066560825.48417
snp17	10	8067000664.01653
snp18	10	8067549239.18966
snp19	10	8066325497.35887
snp20	10	8067120317.44264
snp21	10	8067434837.46221
snp22	10	8065989712.04257
snp23	10	8066868774.53217
snp24	10	8065816537.19192
snp25	10	8066099868.33746
snp26	10	8066337655.18509
snp27	10	8065592207.66632
snp28	10	8066330202.91414
snp29	10	8067304808.69144
snp30	10	8066246124.99338
snp31	10	8066529587.23094
snp32	10	8066764558.65085
snp33	10	8066552509.6141
snp34	10	8065937862.20282
snp35	10	8067220173.63721
snp36	10	8066902360.47639
snp37	10	8067153906.72145
snp38	10	8065781314.25178
snp39	10	8067012848.89208
snp40	10	8066387975.85929
snp41	10	8067207319.58823
snp42	10	8066859547.38764
snp43	10	8067131292.52458
snp44	10	8066671499.62328
snp45	10	8066624866.1604
snp46	10	8067144139.46338
snp47	10	8065612089.40467
snp48	10	8066519887.13007
snp49	10	8067030054.47734
snp50	10	8066950890.11297
snp51	10	8066520666.24427
snp52	10	8067287845.95367
snp53	10	8066441621.21445
snp54	10	8066055021.55406
snp55	10	8065706785.09429
snp56	10	8065764359.32035
snp57	10	8066197970.41437
snp58	10	8066602695.52639
snp59	10	8066889437.15284
snp60	10	8066379087.37438
snp61	10	8067391178.84852
snp62	10	8066152633.74552
snp63	10	8066483558.45252
snp64	10	8066230216.34838
snp65	10	8066867167.93414
snp66	10	8066081460.56144
snp67	10	8066522517.49655
snp68	10	8067098048.34129
snp69	10	8065733920.82874
snp70	10	8067316069.66008
snp71	10	8066243572.87569
snp72	10	8067244307.70038
snp73	10	8066258793.97832
snp74	10	8066232976.8616
snp75	10	8066518129.49015
snp76	10	8067349823.67169
snp77	10	8067294105.94126
snp78	10	8066345406.08695
snp79	10	8067120068.39767
snp80	10	8067486662.99444
snp81	10	8066434745.96955
snp82	10	8066990456.35743
snp83	10	8066365415.7378
snp84	10	8066216131.30376
snp85	10	8067079601.29606
snp86	10	8065970811.51029
snp87	10	8066987669.44494
snp88	10	8065808810.84206
snp89	10	8066056404.02792
snp90	10	8065852035.75885
snp91	10	8066044685.83019
snp92	10	8065683295.75455
snp93	10	8066850003.51706
snp94	10	8067317965.42538
snp95	10	8067123256.35489
snp96	10	8067160044.65178
snp97	10	8066475975.90724
snp98	10	8066385595.16409
snp99	10	8067187167.48554
snp100	10	8066775293.58055
snp101	13	9360117172.85615
snp102	13	9359514119.54387
snp103	13	9359348245.29178
snp104	13	9360793093.12235
snp105	13	9360074711.52888
snp106	13	9359234141.27044
snp107	13	9359066469.69616
snp108	13	9359763961.06862
snp109	13	9360655873.93967
snp110	13	9360005246.93429
snp111	13	9360760066.38984
snp112	13	9360271310.02377
snp113	13	9359521178.82417
snp114	13	9359670672.3811
snp115	13	9359104148.12136
snp116	13	9358833880.15096
snp117	13	9360238857.13219
snp118	13	9359014093.4715
snp119	13	9359700293.69722
snp120	13	9360087927.09027
snp121	13	9360791402.24009
snp122	13	9359798912.15571
snp123	13	9359776424.04874
snp124	13	9359154609.66974
snp125	13	9360317366.88902
snp126	13	9359715515.97844
snp127	13	9359830064.56754
snp128	13	9359222815.22657
snp129	13	9359265041.28547
snp130	13	9359999148.99263
snp131	13	9359957469.39657
snp132	13	9358961853.76057
snp133	13	9358878806.15917
snp134	13	9360093315.98439
snp135	13	9360664955.39927
snp136	13	9360003909.84471
snp137	13	9359929526.49602
snp138	13	9359859780.44783
snp139	13	9360777915.44776
snp140	13	9359823008.64467
snp141	13	9360173301.15735
snp142	13	9360010807.4353
snp143	13	9359285462.35551
snp144	13	9359324056.85335
snp145	13	9360266344.24673
snp146	13	9359712866.66281
snp147	13	9359157978.53683
snp148	13	9360301121.53924
snp149	13	9359017700.2808
snp150	13	9360536814.89806
snp151	13	9360037014.94335
snp152	13	9359922044.07769
snp153	13	9359465279.63811
snp154	13	9359713987.8909
snp155	13	9359808606.94525
snp156	13	9359169457.72226
snp157	13	9359866986.20561
snp158	13	9358958276.49142
snp159	13	9359363236.8653
snp160	13	9359233124.03848
snp161	13	9359377305.96195
snp162	13	9360597913.2059
snp163	13	9359700195.64665
snp164	13	9360367694.77957
snp165	13	9360568963.06974
snp166	13	9359633973.41901
snp167	13	9358935341.96102
snp168	13	9359478699.98337
snp169	13	9360255176.89324
snp170	13	9359482955.667
snp171	13	9360068553.24496
snp172	13	9360488954.10801
snp173	13	9360519988.32942
snp174	13	9359590443.56206
snp175	13	9359568712.77121
snp176	1	7889106317.85199
snp177	1	7888604058.52582
snp178	1	7888797584.29743
snp179	1	7888526033.89306
snp180	1	7889121590.223
snp181	1	7887902887.3102
snp182	1	7887697947.21978
snp183	1	7889088328.88661
snp184	1	7888322105.97146
snp185	1	7889069542.08605
snp186	1	7887693814.24488
snp187	1	7888831633.10478
snp188	1	7888764424.78534
snp189	1	7889202876.63659
snp190	1	7888410720.17403
snp191	1	7888738914.73545
snp192	1	7888093237.19965
snp193	1	7887517173.25237
snp194	1	7889170031.17718
snp195	1	7887881892.00062
snp196	1	7888496573.31763
snp197	1	7887536148.20989
snp198	1	7888996441.06424
snp199	1	7887951354.36889
snp200	1	7888881129.67398
snp201	1	7887850443.41471
snp202	1	7887752717.56977
snp203	1	7888349020.67279
snp204	1	7887853328.18406
snp205	1	7887677763.65468
snp206	1	7888352579.27498
snp207	1	7888440992.8716
snp208	1	7887573740.70894
snp209	1	7887828162.20803
snp210	1	7888751297.55197
snp211	1	7889238246.87285
snp212	1	7887515708.69314
snp213	1	7888841872.37902
snp214	1	7889211359.70933
snp215	1	7888952696.37678
snp216	1	7887932011.66142
snp217	1	7888614585.921
snp218	1	7889222137.90223
snp219	1	7889222892.30006
snp220	1	7887995385.40684
snp221	1	7887840375.22023
snp222	1	7887646334.86636
snp223	1	7887959763.11324
snp224	1	7888335677.4131
snp225	1	7889163363.94271
snp226	1	7888337346.39671
snp227	1	7887830669.52165
snp228	1	7887408348.7739
snp229	1	7888151139.51668
snp230	1	7889023430.00455
snp231	1	7888009888.35545
snp232	1	7887578311.64107
snp233	1	7888064400.72909
snp234	1	7888578267.4568
snp235	1	7888095584.86735
snp236	1	7888694682.6976
snp237	1	7888694253.82495
snp238	1	7888425228.24632
snp239	1	7888174675.81557
snp240	1	7888220867.12561
snp241	1	7887928313.51778
